[2017-07-30 15:38:47] my_logger.INFO: Ticket list [] []
[2017-07-30 15:40:11] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:41:23] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:41:44] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:44:17] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:45:01] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:45:02] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:45:03] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:45:03] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:45:03] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 15:45:03] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:32:42] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:34:11] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:34:17] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:34:44] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:34:48] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"},{"id":"2","nome":"Lavor"}] [] []
[2017-07-30 16:42:39] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:43:04] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:44:02] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:44:07] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:44:13] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:45:03] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:45:12] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:45:44] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:45:51] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:46:55] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:47:16] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:47:26] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:47:39] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:48:01] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:48:10] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:48:17] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:48:42] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:49:07] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"},{"id":"2","nome":"Lavor"}] [] []
[2017-07-30 16:49:22] my_logger.INFO: Ticket list :[] [] []
[2017-07-30 16:49:34] my_logger.INFO: Ticket list :[] [] []
[2017-07-30 16:49:46] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:50:30] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:50:31] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:50:31] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:50:31] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:51:16] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-07-30 16:51:20] my_logger.INFO: Ticket list :[] [] []
[2017-07-30 16:51:24] my_logger.INFO: Ticket list :Array [] []
[2017-08-06 11:28:11] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-08-06 11:33:44] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-08-06 11:34:03] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-08-06 11:34:17] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-08-06 11:34:24] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-08-06 11:34:46] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
[2017-08-13 17:39:49] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"},{"id":"2","nome":"Lavor"}] [] []
[2017-08-13 18:50:17] my_logger.INFO: Ticket list :[{"id":"1","nome":"Gabriel"}] [] []
